Result: _result
Table: keys: [_start, _stop, DOOR_ID, _field, _measurement]
                   _start:time                      _stop:time          DOOR_ID:string           _field:string     _measurement:string                      _time:time                  _value:float
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-08T18:00:00.000000000Z                            15
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-08T19:00:00.000000000Z                            16
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-08T20:00:00.000000000Z                            29
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-08T21:00:00.000000000Z                             6
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-08T22:00:00.000000000Z                            14
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-08T23:00:00.000000000Z                             8
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-09T00:00:00.000000000Z                             2
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-09T01:00:00.000000000Z                            29
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-09T02:00:00.000000000Z                             6
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-09T11:00:00.000000000Z                            24
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-09T12:00:00.000000000Z                            10
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-09T13:00:00.000000000Z                             9
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-09T14:00:00.000000000Z                             8
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-09T15:00:00.000000000Z                            30
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-09T16:00:00.000000000Z                             4
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-09T17:00:00.000000000Z                             6
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-09T18:00:00.000000000Z                            26
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-09T19:00:00.000000000Z                             6
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-09T20:00:00.000000000Z                             1
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-09T21:00:00.000000000Z                            14
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-09T22:00:00.000000000Z                            15
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-09T23:00:00.000000000Z                             1
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-10T00:00:00.000000000Z                            15
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-10T01:00:00.000000000Z                             8
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-10T02:00:00.000000000Z                             1
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-10T11:00:00.000000000Z                            15
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-10T12:00:00.000000000Z                            25
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-10T13:00:00.000000000Z                             7
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-10T14:00:00.000000000Z                            12
1970-01-01T00:00:00.000000000Z  2024-10-18T16:13:34.677770643Z                       0                      IN            foot_traffic  2024-09-10T15:00:00.000000000Z                            16
